name,creatorRef,lastEditorRef,ingredient1,ingredient2,ingredient3,type
Ito: A Diary of an Urban Priest (Seitti - kilvoittelijan päiväkirja),001,005,Flavouring - Raspberry,Coffee - Espresso,Beer - Guiness,DRINK
Unknown White Male,004,005,Sugar - Brown,Flower - Leather Leaf Fern,Soup - Campbells Tomato Ravioli,MAIN_DISH
Bikini Summer II,004,002,Brownies - Two Bite,Soup - Campbells,Kellogs Special K Cereal,ADDIOTIONAL_DISH
"Olsen Gang on the Track, The (Olsen-banden på sporet)",006,004,Ham - Smoked,Langers - Cranberry Cocktail,Coffee - Almond Amaretto,ADDIOTIONAL_DISH
Jerusalem,002,002,Sprite,Bandage - Flexible Neon,Tuna - Bluefin,MAIN_DISH
Stateside,002,006,Lettuce - California Mix,Melon - Cantaloupe,Soup Campbells,DRINK
"Viking, The",005,002,Fudge - Cream Fudge,Kellogs Special K Cereal,Chinese Foods - Chicken,ADDIOTIONAL_DISH
Brainstorm,002,001,Gooseberry,Truffle Cups - Brown,Sea Urchin,DRINK
"Last Lovecraft: Relic of Cthulhu, The",006,005,Chips - Miss Vickies,Sour Puss Sour Apple,Wine - Beringer Founders Estate,ADDIOTIONAL_DISH
Pulp,003,003,Wine - Carmenere Casillero Del,Lettuce - Iceberg,Beef - Bones,MAIN_DISH
V: The Final Battle,005,003,Ostrich - Fan Fillet,Carrots - Jumbo,Pasta - Penne,ADDIOTIONAL_DISH
"Tom, Tom, the Piper's Son",005,006,Wine - Red,Hagen Daza - Dk Choocolate,Pasta - Fettuccine,ADDIOTIONAL_DISH
Remarkable Power,002,003,Turkey Leg With Drum And Thigh,Flower - Leather Leaf Fern,Pepper - Julienne,ADDIOTIONAL_DISH
"Last Summer of La Boyita, The (El último verano de la Boyita)",001,002,Wine - Sauvignon Blanc,Veal - Round,Plate - Foam,MAIN_DISH
Battle of Los Angeles,003,002,Wine - Sicilia Igt Nero Avola,Gatorade - Xfactor Berry,Soup - Campbells Tomato Ravioli,DRINK
"Marriage Circle, The",003,006,Beef - Roasted,Pur Source,Sauerkraut,ADDIOTIONAL_DISH
Vengeance Valley,004,003,Ranchero - Primerba,Beer - Corona,Green Tea Refresher,MAIN_DISH
Two Family House,005,004,Liners - Baking Cups,Lemonade - Strawberry,Lettuce - Red Leaf,MAIN_DISH
Different for Girls,002,001,Salt - Table,Truffle Cups - Red,Cheese - Brie,DRINK
I Like It Like That,003,006,Sprite,Potatoes - Idaho 80 Count,Coffee - Espresso,MAIN_DISH
"Soldier, The",006,002,Mushroom - King Eryingii,Lobster - Cooked,Rabbit - Whole,MAIN_DISH
Heartbreakers,004,003,Oil - Sesame,Stock - Fish,Tomatoes,ADDIOTIONAL_DISH
Murder by Death,002,004,Turkey Leg With Drum And Thigh,True - Vue Containers,Island Oasis - Sweet And Sour Mix,ADDIOTIONAL_DISH
Life Without Dick,002,001,Numi - Assorted Teas,Soup - Campbells Tomato Ravioli,Ecolab Crystal Fusion,ADDIOTIONAL_DISH
Last of the Red Hot Lovers,006,001,Wine - Beringer Founders Estate,Truffle Paste,Juice - Lagoon Mango,MAIN_DISH
"Kiss, The",001,006,Yoplait - Strawbrasp Peac,Appetizer - Crab And Brie,Crab - Claws,MAIN_DISH
Bruna Surfistinha,005,005,Corn Meal,Water - Tonic,Milk - 2% 250 Ml,ADDIOTIONAL_DISH
Like Mike 2: Streetball,001,004,Wine - Red,Wine - Montecillo Rioja Crianza,Ham - Cooked Italian,DRINK
Healing,002,005,Icecream - Dstk Strw Chseck,Island Oasis - Mango Daiquiri,Oregano - Fresh,DRINK
"Apparition, The",001,002,Bread - Raisin Walnut Oval,Cranberries - Fresh,Container - Foam Dixie 12 Oz,MAIN_DISH
Supernova,004,003,Flour - Strong,Towel - Roll White,Tamarillo,MAIN_DISH
Portrait of Maria (María Candelaria (Xochimilco)),001,005,Napkin - Beverage 1 Ply,Mustard - Individual Pkg,Crab - Meat,MAIN_DISH
"Inn of the Sixth Happiness, The",001,006,Syrup - Monin,Cherries - Fresh,Honey - Comb,ADDIOTIONAL_DISH
Cold Storage,001,004,Quail - Eggs,Table Cloth 120 Round White,Sauce - Thousand Island,MAIN_DISH
Angela's Ashes,005,006,Bread Foccacia Whole,Pumpkin - Seed,Extract - Almond,ADDIOTIONAL_DISH
"Core, The",005,004,Pork - Bacon,Bread - Roll,Oil - Food,ADDIOTIONAL_DISH
Stand by Me,002,001,Lemonade - Kiwi,Lettuce - Frisee,Bandage - Fexible 1x3,ADDIOTIONAL_DISH
If Lucy Fell,006,006,Ham - Black Forest,Initation Crab Meat,Garam Marsala,MAIN_DISH
Jaws,004,003,Vinegar - Rice,Towel Multifold,Cookie Dough - Chocolate Chip,MAIN_DISH
Dating the Enemy,003,005,Tobasco Sauce,Beef Flat Iron Steak,Energy Drink - Franks Original,DRINK
The Valley of Gwangi,003,006,Lid - 10,Longos - Chicken Wings,Beef - Salted,DRINK
Objectified,005,004,Beer - Paulaner Hefeweisse,Steamers White,Wine - Guy Sage Touraine,MAIN_DISH
Vengeance is Mine (Fukushu suruwa wareniari),005,006,Water - Tonic,Ham - Proscuitto,Cumin - Whole,MAIN_DISH
Rhapsody in Blue,004,005,Lamb - Ground,Higashimaru Usukuchi Soy,Alize Red Passion,MAIN_DISH
I Heart Huckabees,005,006,Bagelers,Rice - Wild,Pepper - Sorrano,MAIN_DISH
Passion Fish,006,002,Puree - Mocha,Melon - Honey Dew,Squid - Tubes / Tenticles 10/20,MAIN_DISH
"Big Broadcast of 1938, The",003,004,Compound - Mocha,Fireball Whisky,Beer - Paulaner Hefeweisse,DRINK
Tremors 4: The Legend Begins,004,006,Pastry - Apple Large,Beer - Paulaner Hefeweisse,Munchies Honey Sweet Trail Mix,MAIN_DISH
"Henry IV, Part II (Second Part of King Henry the Fourth, including his death and the coronation of King Henry the Fifth, The)",003,006,Pasta - Spaghetti,Tart - Raisin And Pecan,Flavouring - Raspberry,DRINK
Trauma,004,004,Icecream - Dstk Strw Chseck,Crackers - Soda / Saltins,Hold Up Tool Storage Rack,DRINK
Ice Soldiers,001,003,Potatoes - Yukon Gold,Sour Cream,Muffin - Mix - Bran And Maple 15l,MAIN_DISH
All About the Feathers (Por Las Plumas),004,004,Turkey Leg With Drum And Thigh,Pork - European Side Bacon,Lettuce - Frisee,ADDIOTIONAL_DISH
"Deadly Tower, The",006,003,Longos - Chicken Wings,Wine - Masi Valpolocell,Ecolab Silver Fusion,MAIN_DISH
Malta G.C.,003,005,Soup - Knorr,Pasta - Cappellini,Beef - Bones,MAIN_DISH
"New Adventures of Pippi Longstocking, The",001,006,Veal - Loin,Beer - Maudite,Eggplant - Asian,DRINK
Pekka ja Pätkä puistotäteinä,004,004,Bacardi Raspberry,Wine - Magnotta - Bel Paese White,Coffee Cup 16oz Foam,DRINK
"Dying Swan, The (Umirayushchii lebed)",002,001,Pears - Fiorelle,Wine - Montecillo Rioja Crianza,Sauce - Rosee,ADDIOTIONAL_DISH
Storyville,006,006,Cheese - Parmesan Grated,Oven Mitt - 13 Inch,Alize Sunset,ADDIOTIONAL_DISH
Skylark,006,002,Plate Pie Foil,Chips - Assorted,Soup Campbells Turkey Veg.,ADDIOTIONAL_DISH
"Borrower, The",004,002,Veal - Round,Chinese Foods - Thick Noodles,Wine - Sogrape Mateus Rose,ADDIOTIONAL_DISH
From Zero to Hero,002,005,Pomegranates,Water - Spring 1.5lit,Wine - Segura Viudas Aria Brut,ADDIOTIONAL_DISH
Country Strong,006,001,Wine - Cotes Du Rhone,Egg - Salad Premix,Bread - Raisin Walnut Pull,DRINK
Special Forces (Forces spéciales),003,005,Cake - Mini Cheesecake,Energy Drink Bawls,Tomato - Peeled Italian Canned,MAIN_DISH
Wild at Heart,005,004,Beer - Upper Canada Light,Basil - Thai,Pineapple - Canned,DRINK
God's Pocket,002,004,Nacho Chips,Soup - Campbells,Plate - Foam,ADDIOTIONAL_DISH
Safe Sex,006,002,Sprouts - Pea,Pepper - White,Muffin Mix - Morning Glory,DRINK
Rhyme & Reason,003,006,Spinach - Baby,Gatorade - Lemon Lime,Vodka - Lemon,DRINK
Big Fan,002,002,Longos - Chicken Caeser Salad,Munchies Honey Sweet Trail Mix,Chip - Potato Dill Pickle,DRINK
"Out of the Furnace (Dust to Dust) (Low Dweller, The)",003,003,Sausage - Andouille,Miso - Soy Bean Paste,Numi - Assorted Teas,DRINK
1,002,004,Ranchero - Primerba,Croissant,Nut - Peanut,ADDIOTIONAL_DISH
"Ice Rink, The (La patinoire)",005,004,Beer - Corona,Celery,Wine - Baron De Rothschild,MAIN_DISH
Drunken Tai Chi (Siu taai gik),002,003,Vaccum Bag 10x13,Star Anise,Celery,DRINK
Polite People (Kurteist fólk),001,006,Longos - Chicken Cordon Bleu,Beef - Chuck,Nut - Walnut,MAIN_DISH
"Possession, The",005,001,Tea - Herbal I Love Lemon,Cheese - Asiago,Puree - Passion Fruit,DRINK
